,Source,Text,FAQ item,FAQ link
0,T5 Augmentation April 2021,"I got a call that I forgot my order. I'm going to send an email to a different company. For that reason, I will always get a response.",What should I do if my order hasn't been delivered yet?,
1,T5 Augmentation April 2021,Hey I failed to return an order. Did I miss my order?,What should I do if my order hasn't been delivered yet?,
2,T5 Augmentation April 2021,"I lost my order in january, but I sent it back. Am I not receiving my order or payment?",What should I do if my order hasn't been delivered yet?,
3,T5 Augmentation April 2021,Hey did not receive my order?,What should I do if my order hasn't been delivered yet?,
4,T5 Augmentation April 2021,Why my order has not been received yet?,What should I do if my order hasn't been delivered yet?,
5,T5 Augmentation April 2021,I forgot my order and I don't even see my payment list. My email is fine. But I can't get a reply.,What should I do if my order hasn't been delivered yet?,
6,T5 Augmentation April 2021,Did you get a response from an email that you should definitely check after you have placed your order?,What should I do if my order hasn't been delivered yet?,
7,T5 Augmentation April 2021,Hello I just received my order. How can I learn how to contact an customer service representative?,What should I do if my order hasn't been delivered yet?,
8,T5 Augmentation April 2021,My order has not been received yet. How can I fix this?,What should I do if my order hasn't been delivered yet?,
9,T5 Augmentation April 2021,On my order I have received an error. will I be asked to provide the reason?,What should I do if my order hasn't been delivered yet?,
10,T5 Augmentation April 2021,How is Nike Air Force One in stocks now?,Can you tell me if you're getting an item back in stock?,
11,T5 Augmentation April 2021,Do you still have the Air Force one?,Can you tell me if you're getting an item back in stock?,
12,T5 Augmentation April 2021,Why aren't Nike Air Force One Air conditioned shoes in stock?,Can you tell me if you're getting an item back in stock?,
13,T5 Augmentation April 2021,Do you still have the Nike Air Force 1?,Can you tell me if you're getting an item back in stock?,
14,T5 Augmentation April 2021,Is Nike Air Force one in stock?,Can you tell me if you're getting an item back in stock?,
15,T5 Augmentation April 2021,What is the Nike Air Force one ninja still in stock? Is there a chance it could be discontinued?,Can you tell me if you're getting an item back in stock?,
16,T5 Augmentation April 2021,Does Nike still make Nike Air Force One?,Can you tell me if you're getting an item back in stock?,
17,T5 Augmentation April 2021,Now do you have any Nike Air Force One merchandise in stock?,Can you tell me if you're getting an item back in stock?,
