Source,Text,FAQ item,FAQ link
Annotated March 2020,Hey I did not receive my order?,What should I do if my order hasn't been delivered yet?,
Annotated March 2020,Do you still have Nike Air Force one in stock?,Can you tell me if you're getting an item back in stock?,
Annotated March 2020,How do I order from France?,?,
Annotated March 2020,How do I order from UK?,?,
Annotated March 2020,Can you tell me more about shipping fees in Spain?,?,
Annotated March 2020,Can you tell me more about shipping fees in Europe?,?,
Annotated March 2020,Can you tell me more about shipping fees in UK?,How does your UK Standard Delivery service work?,
Annotated March 2020,"My shirt is missing from my order, help!","I'm missing an item from my order, what do I do?",
Annotated March 2020,"My parcel is due tomorrow but I am travelling on that date, can you ship it early so I can receive it in time?",Can I choose a specific time or day for my delivery?,
Annotated March 2020,What is the carbon footprint of an order?,?,
Annotated March 2020,I would like to know more about premiere?,Can you tell me more about your Premier Delivery service?,
Annotated March 2020,When should I expect my parcel with next day delivery?,How does your UK Next Day Delivery service work?,
Annotated March 2020,"I am a premiere customer, can you provide details on custom fees?",?,
Annotated March 2020,Do I have to pay for the custom fees from Russia?,?,
Annotated March 2020,I'm a UK customer. Have you received my returned items?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
Annotated March 2020,What is your Returns Policy?,What is your Returns Policy?,https://asos-uk.custhelp.com/app/answers/detail/a_id/69
Annotated March 2020,What should I do if my order hasn't been delivered yet?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
Annotated March 2020,How can I get a new returns note?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
Annotated March 2020,I'm a UK customer. How do I return something to you?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
Annotated March 2020,What is your animal protection policy?,What is ASOS' company policy regarding Animal Welfare?,
Annotated March 2020,Is any of the product on the website made of real fur?,Are any of the items you sell made using real fur?,
Annotated March 2020,My shipping address is incorrect how can I fix it?,Can I amend my order after I've placed it?,
Annotated March 2020,I have not received my order number.,?,
Annotated March 2020,I have trouble logging in to the website,I'm having trouble signing into my account,
Annotated March 2020,My promo code is not working,Can you help me with my promo code?,
Annotated March 2020,When is the next sales?,?,
Annotated March 2020,When do you get my shoes back in stock?,Can you tell me if you're getting an item back in stock?,
Annotated March 2020,Are you a robot?,?,
Annotated March 2020,Is it safe to pay online?,? - How can I pay for my order?,
Annotated March 2020,I just placed an order and I did not receive my confirmation email,What can I do if I'm not receiving emails from ASOS?,
Annotated March 2020,Do I have to create an account before I order?,?,
Annotated March 2020,Where is MarketPlace on the app?,Why can't I find marketplace on the app?,
Annotated March 2020,I forgot my password,"I'VE FORGOTTEN MY PASSWORD, HOW DO I RESET IT?",
Annotated March 2020,I would like to return an item,I'M A UK CUSTOMER. HOW DO I RETURN SOMETHING TO YOU?,
Annotated March 2020,I am travelling to Germany how do I change the currency on the app?,HOW DO I CHANGE THE CURRENCY ON THE APP?,
Annotated March 2020,One of my items is damaged,What do I do if I receive a faulty item in my order?,
Annotated March 2020,Can I exchange an item?,Can I return an item for an exchange instead of a refund?,
Annotated March 2020,Two items in my order are missing,"I'm missing an item from my order, what do I do?",
Annotated March 2020,I got sent the wrong item,"I have an incorrect item in my order, what do I do?",
Annotated March 2020,Why hasn't my order arrived yet?,What should I do if my order hasn't been delivered yet?,
Annotated March 2020,One of my orders have arrived but the other one hasn't,What should I do if my order hasn't been delivered yet?,
Annotated March 2020,"My order says delivered, but I haven't received it",?,
Annotated March 2020,Can i make some changes to my order before you deliver it?,Can I amend my order after I've placed it?,
Annotated March 2020,Can you check if this dress is coming back in stock?,Can you tell me if you're getting an item back in stock?,
Annotated March 2020,Do you deliver to Israel?,?,
Annotated March 2020,How long will it take to deliver to Bahrain?,?,
Annotated March 2020,Do I have to pay import tax when I buy from you?,?,
Annotated March 2020,I can't log into my account,I'm having trouble signing into my account,
